,0
149,"Agriculture, Egyptian, Foaden (G. P.) and
Fletcher (F.) Vol. 2, gs. 6d. net ......Mar. II"
150,"Agriculture, Elements of, Fream (W.)
58. net
Oct. II"
151,"Agriculture : Encyclopædia of the farm, 3os. net
Nov. 11"
152,"Agriculture in India (Dept. of)-Memoirs, Vol. 1,
No. 1o, June, 1911. 35, 6d. net
THACKER, Aug. II"
153,"Agriculture, Standard cyclop. of mod., Wright
(Sir R. P.) Vols. 9-12 (completed). Ea. 8s. net
Jan.-Sep. 11"
154,"Agriculture, Teaching of, Bricker (G. A.) Feb. II"
155,"Agriculture, Weather wisdom in, Dunlop (W. R.)
IS. net
July 11"
156,"Ai B'Uthman-Kashf al-Mahjub, 8s. net Mar. 11"
157,"Aid in the field, Mackay (H.) is. 6d. net
. . Dec, 11"
158,"Ailsa Page, Chambers (R. W.) 6s. ..Mar.is
Ainsley's Nautical almanac and tide tables for
1912. 8vo. swd. 6d. and is.
SIMPKIN, Sep. Il"
159,"Ainsworth (Percy C.)-Poems and sonnets.
12mo. 28. 6d. net C. H. KELLY, Dec. 10"
160,"Ainsworth (Percy C.)-A Thornless world, and
other sermons. Cr. 8vo. 8 X 51, pp. 238, 3s. 6d.
net
...C. H. KELLY, Dec. II"
161,"Ainsworth (W. Harrison)-Old St. Paul's. I 2mo.
pp. 492, IS. net ; Ithr. 25. net (Everyman's
library)
..DENT, Sep. 11"
162,"Ainsworth (William Harrison)-Windsor Castle.
12mo, 6d. net
NELSON, Apr. II"
163,"Air, Heroes of the, Grahame-White (C.) and Harper
(H.) 6s.
..Oct. II"
164,"Air, Law of the, Hazeltine (H. D.) 58. net Oct. 11"
165,"Air scout, Strang (H.) 6s.
..Oct. II"
166,"Airships, All about, Simmonds (R.) 6s.....Oct. 11"
167,"Airships, All the world's, Jane (F. T.) 21s. net
Jan. II"
168,"Aitken (Robert)-The Golden horseshoe. 12mo,
6d. net.....
...NEWNES, Feb. II"
169,"Aitken (Robert)-The Lantern of luck. 8vo. swd.
6d.
....NEWNES, Aug. II"
170,"Aitken (Robert)- A Million a minute. 12mo., 6d.
net
...NEWNES, Nov. II"
171,"Altken (W.)-Aitken's Manual of the telephone.
Ryl. 8vo. 95 x6, pp. 704, \ Ithr., 18s. net
“ ELECTRICIAN,” Nov.it
Aitken (W. Francis)—The Chief scout, Sir Robert
Baden-Powell : a camp-fire yarn. Cr. 8vo.,
pp. 142, IS...
PARTRIDGE, Nov. II"
172,"Aiyangar (S. Krishnaswami)-Ancient India.
With an intro. by Vincent A. Smith. Cr. 8vo.,
2 maps, pp. 466, 6s, net.. LUZAC, Dec. II"
173,"à Kempis (Thomas see Kempis (Thomas à)
Akhnaton, Pharaoh, Life of, Weigall (A. E. P).
Ios. 6d. net
.. June II"
174,"Alabaster box, Besant (Sir W.) is. net .. Mar. II"
175,"Aladdin, and other tales from the Arabian Nights.
Cr. 8vo. pp. 126, IS. BLACKIE, Sep. II"
176,"Alaska, Berners Bay, Geology of, Knopf (A.)
IS. 6d. net
.May 11"
