original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Madan (Falconer W.)-Oxford books. A biblio- graphy of printed books relating to the Univer- sity and city of Oxford. Vol. 2. Oxford literature. 1450-1640 and 1641-1650. 8vo., pp. 728, 259. net. Vols. 1 and 2 together 36s. net . (Clarendon Press) FROWDE, Feb. 12",190,200,,Madan (Falconer W.),Oxford books. A biblio- graphy of printed books relating to the Univer- sity and city of Oxford. Vol. 2. Oxford literature. 1450-1640 and 1641-1650.,8vo.,"pp. 728, 259. net. Vols. 1 and 2 together 36s. net .",(Clarendon Press) FROWDE,Feb. 12,False,1912
"Magnanimous lover, Ervine (St. J. G.) 6d. net Mahavyntpatti. Pt. 3. Edit, by J. P. Minayeff, in Sanskrit and Russian. Ryl. 8vo. pp. 284, Swd. 25. 6d. net (Bibliotheca Buddhica, 13) LUZAC, Dec. 11",190,200,,,"Magnanimous lover, Ervine (St. J. G.) 6d. net Mahavyntpatti. Pt. 3. Edit, by J. P. Minayeff, in Sanskrit and Russian.",Ryl. 8vo.,"pp. 284, Swd. 25. 6d. net (Bibliotheca Buddhica, 13)",LUZAC,Dec. 11,False,1912
"Maddick (Maud)—Under the Captain. Ryl. 16mo., pp. 156, Is. net .R. T. S., Jan. 12",190,200,,Maddick (Maud),Under the Captain.,Ryl. 16mo.,"pp. 156, Is. net .",R.T.S.,Jan. 12,False,1912
"Madeley (Dora Ford)—- The Heroic life and ex- ploits of Siegfried, the dragon-slayer : an old story of the north. 4to, 73 x64, pp. 168, Is. 6d. net HARRAP, July 12",190,200,,Madeley (Dora Ford),"The Heroic life and ex- ploits of Siegfried, the dragon-slayer : an old story of the north.","4to,","73 x64, pp. 168, Is. 6d. net",HARRAP,July 12,False,1912
"Maeterlinck (Maurice)-Hours of gladness. Trans. by A. Teixeira De Mattos, Illus. 4to. 11 X8}, pp. 192, 215, net ....G. ALLEN, Oct. 12",190,200,,Maeterlinck (Maurice),"Hours of gladness. Trans. by A. Teixeira De Mattos, Illus.",4to.,"11 X8}, pp. 192, 215, net ....",G. ALLEN,Oct. 12,False,1912
"Maeterlinck (Maurice)-Joyzelle. 12mo. 64 X4, pp. 176, 25. 6d. net ; Ithr. 35. 6d. net G. ALLEN, May 12",190,200,,Maeterlinck (Maurice),Joyzelle.,12mo.,"64 X4, pp. 176, 25. 6d. net ; Ithr. 35. 6d. net",G. ALLEN,May 12,False,1912
"Maeterlinck (Maurice)—Mary Magdalene : a play in 3 acts. Pop. edit. 12mo. 7 X 4, pp. 188, IS, net ..METHUEN, June 12",190,200,,Maeterlinck (Maurice),Mary Magdalene : a play in 3 acts. Pop. edit.,12mo.,"7 X 4, pp. 188, IS, net ..",METHUEN,June 12,False,1912
"Magee (E.)—Le Livre rouge. 4to., 8{ x64, pp. 96, is. 6d. BLACKIE, Mar. 12",190,200,,Magee (E.),Le Livre rouge.,4to.,"8{ x64, pp. 96, is. 6d.",BLACKIE,Mar. 12,False,1912
"Magician annual (The)-4to., 45. 6d. net ROUTLEDGE, Mar. 12",190,200,,,Magician annual (The),4to.,45. 6d. net,ROUTLEDGE,Mar. 12,False,1912
"Mahler (Margaret)-A History of Chirk Castle and Chirkland : with a chapter on Offa's Dyke. 4to. 91 x 61, pp. 244, 6s. net ....BELL, Mar. 12",190,200,,Mahler (Margaret),A History of Chirk Castle and Chirkland : with a chapter on Offa's Dyke.,4to.,"91 x 61, pp. 244, 6s. net ....",BELL,Mar. 12,False,1912
