,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
110,"Anstey (F.)-The Giant's Robe. 8vo. swd. 6d. AMALGAMATED PRESS, May 10",Anstey,F.,The Giant's Robe,AMALGAMATED PRESS,6d.,0.025,8vo.,"Anstey (F.)-The Giant's Robe. 8vo. swd. 6d. AMALGAMATED PRESS, May 10",F. Anstey,['Anstey (F.)'],,May 10,
111,"Anstey (F.)- Vice Versâ. A farcical fantastic play in 3 acts. Cr. 8vo. 71 x5, pp. 184, 2s., swd. s. 6d. . SMITH, E., Nov. 10",Anstey,F.,Vice Versâ,"SMITH, E.",6d.,0.025,8vo.,"Anstey (F.)- Vice Versâ. A farcical fantastic play in 3 acts. Cr. 8vo. 71 x5, pp. 184, 25., swd. IS. 6d. . SMITH, E., Nov. 10",F. Anstey,['Anstey (F.)'],,Nov. 10,
114,"Anthony (G. C.) and Ashley (G. F.)-Descriptive Geometry. Oblong 8vo. 6s. D. C. HEATH, Feb. 10",Anthony,G. C.,Descriptive Geometry,D. C. HEATH,6s.,0.3,8vo.,"Anthony (G. C.) and Ashley (G. F.)-Descriptive Geometry. Oblong 8vo. 6s. D. C. HEATH, Feb. 10",G. C. Anthony,"['Anthony (G. C.)', 'Ashley (G. F.)']",,Feb. 10,
115,"Anthony (R.)—The Cultivation of the Turbot (U.S. Bureau of Fisheries). Illus. Imp. 8vo II X7} swd. 2s. 6d. net .... WESLEY, June 10",Anthony,R.,The Cultivation of the Turbot (U.S. Bureau of Fisheries),WESLEY,2s. 6d.,0.125,8vo,"Anthony (R.)—The Cultivation of the Turbot (U.S. Bureau of Fisheries). Illus. Imp. 8vo II X7} swd. 25. 6d. net .... WESLEY, June 10",R. Anthony,['Anthony (R.)'],,June 10,net
116,"Antrobus (C. L.)—The Stone Ezel. Cr. 8vo. 78 x 41, pp. 364, 6s.... . CHATTO, Feb. 10",Antrobus,C. L.,The Stone Ezel,CHATTO,6s.,0.3,8vo.,"Antrobus (C. L.)—The Stone Ezel. Cr. 8vo. 78 x 41, pp. 364, 6s.... . CHATTO, Feb. 10",C. L. Antrobus,['Antrobus (C. L.)'],,Feb. 10,
118,"Appar (Sri Vagisa Deva) A Sketch of his Life and Philosophy, by J. M. N. Pillai with a foreword by P. Ramanathan, K.C., C.M.G. Ryl. 8vo., Pp. 54. 9d. net.. .I,UZAC, Aug. 10",Appar,Sri Vagisa Deva,"A Sketch of his Life and Philosophy, by J. M. N. Pillai with a foreword by P. Ramanathan, K.C., C.M.G","I,UZAC",9d.,0.0375,8vo.,"Appar (Sri Vagisa Deva) A Sketch of his Life and Philosophy, by J. M. N. Pillai with a foreword by P. Ramanathan, K.C., C.M.G. Ryl. 8vo., Pp. 54. 9d. net.. .I,UZAC, Aug. 10",Sri Vagisa Deva Appar,['Appar (Sri Vagisa Deva)'],,Aug. 10,net
120,"Applin (Arthur)-Fédora of the Halls. Cr. 8vo. 7* X 5, pp. 320, 6s.........F. V. WHITE, Nov. 10",Applin,Arthur,Fédora of the Halls,F. V. WHITE,6s.,0.3,8vo.,"Applin (Arthur)-Fédora of the Halls. Cr. 8vo. 7* X 5, pp. 320, 6S.........F. V. WHITE, Nov. 10",Arthur Applin,['Applin (Arthur)'],,Nov. 10,
121,"Applin (Arthur)-The Pantomime Girl. Cr. 8vo. 71 X4, pp. 318, 2s. net ....EVERETT, Dec. 10",Applin,Arthur,The Pantomime Girl,EVERETT,2s.,0.1,8vo.,"Applin (Arthur)-The Pantomime Girl. Cr. 8vo. 71 X4, pp. 318, 25. net ....EVERETT, Dec. 10",Arthur Applin,['Applin (Arthur)'],,Dec. 10,net
122,"Applin (Arthur)-Rags. Cr. 8vo. 71 X5, pp. 384,6s. F. V. WHITE, July 10",Applin,Arthur,Rags,F. V. WHITE,6s.,0.3,8vo.,"Applin (Arthur)-Rags. Cr. 8vo. 71 X5, pp. 384,6s. F. V. WHITE, July 10",Arthur Applin,['Applin (Arthur)'],,July 10,
123,"Applin (R. V. K.)-Machine Gun Tactics. 8vo. 84x5), pp. 272, 6s. net ........REES, Mar. 10",Applin,R. V. K.,Machine Gun Tactics,REES,6s.,0.3,8vo.,"Applin (R. V. K.)-Machine Gun Tactics. 8vo. 84x5), pp. 272, 6s. net ........REES, Mar. 10",R. V. K. Applin,['Applin (R. V. K.)'],,Mar. 10,net
