,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
6159,"Marriott (J. A. R.)-English political institutions. (Clarendon Press) H. MILFORD, J une 13",,,,H. MILFORD,,,"Marriott (J. A. R.)-English political institutions. (Clarendon Press) H. MILFORD, J une 13",,['Marriott (J. A. R.)-English political institutions. (Clarendon Press)'],,J une 13,1913,
6194,"Marshall (Mrs. Charles)—365 chafing dish recipes. 12mo., pp. 178, is. net...... DEAX, June 13",Marshall,Mrs. Charles,,DEAX,,12mo.,"Marshall (Mrs. Charles)—365 chafing dish recipes. 12mo., pp. 178, is. net...... DEAX, June 13",Mrs. Charles Marshall,['Marshall (Mrs. Charles)'],,June 13,1913,
6195,"Marshall (Mrs. Charles)-365 entrées. 12mo., pp. 218, 1s. net DEAN, Dec. 13",Marshall,Mrs. Charles,,DEAN,1s.,12mo.,"Marshall (Mrs. Charles)-365 entrées. 12mo., pp. 218, Is. net DEAN, Dec. 13",Mrs. Charles Marshall,['Marshall (Mrs. Charles)'],,Dec. 13,1913,net
6218,"Masks, Fleming (B.) 6s. Mason (A. de Witt)-Outlines of missionary history. 8vo., 6s, net ....HODDER & S., Jan. 13","Masks, Fleming",B.,,HODDER & S.,6s.,8vo.,"Masks, Fleming (B.) 6s. Mason (A. de Witt)-Outlines of missionary history. 8vo., 6s, net ....HODDER & S., Jan. 13","B. Masks, Fleming","['Masks, Fleming (B.)']",,Jan. 13,1913,net
6236,"Masterpieces, Meissonier (J. L. E.) 6d., is, net Masters (M. Smith-) see Smith-Masters. Masters (W. Caldwall)—Some Notes on the ancient church of St. Leonard, Stanton Fitz- warren, Wilts: and otherwise. Ryl. 8vo. 101 71, pp. 57, 48. 6d. . MOWBRAY, July, 13","Masterpieces, Meissonier",J. L. E.,,MOWBRAY,6d.,8vo.,"Masterpieces, Meissonier (J. L. E.) 6d., is, net Masters (M. Smith-) see Smith-Masters. Masters (W. Caldwall)—Some Notes on the ancient church of St. Leonard, Stanton Fitz- warren, Wilts: and otherwise. Ryl. 8vo. 101 71, pp. 57, 48. 6d. . MOWBRAY, July, 13","J. L. E. Masterpieces, Meissonier","['Masterpieces, Meissonier (J. L. E.)']",,"July, 13",1913,
6427,"Cr. 8vo., swd., 6d. net GOODSHIP HOUSE, A pr. 13",,,,GOODSHIP HOUSE,6d.,8vo.,"Cr. 8vo., swd., 6d. net GOODSHIP HOUSE, A pr. 13",,,,A pr. 13,1913,net
6428,"8X54, pp. 382, 58. ......HOLDEN & H., Nov.13",,,,HOLDEN & H.,,,"8X54, pp. 382, 58. ......HOLDEN & H., Nov.13",,,,Nov.13,1913,
6429,"WARNE, Apr. 13",,,,WARNE,,,"WARNE, Apr. 13",,,,Apr. 13,1913,
6434,"8vo, Swd. 5s, net........MACMILLAN, Nov. 13",,,,MACMILLAN,5s.,,"8vo, Swd. 5s, net........MACMILLAN, Nov. 13",,,,Nov. 13,1913,net
6435,"8vo, Swd. 78. 6d. net .... JACMILLAN, Mar. 13",,,,JACMILLAN,6d.,,"8vo, Swd. 78. 6d. net .... JACMILLAN, Mar. 13",,,,Mar. 13,1913,net
