,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
63,"Aircraft. By an Air Pilot. Cr. 8vo. 71 x 54, pp. 128, 2s. 6d, net .NEWNES, Dec. 16",,,Aircraft,NEWNES,2s. 6d.,0.125,8vo.,"Aircraft. By an Air Pilot. Cr. 8vo. 71 x 54, pp. 128, 25. 6d, net .NEWNES, Dec. 16",,,,Dec. 16,net
66,"Alice in Wonderland painting book. Ryl. 8vo. 10 X 7, swd. 6d. net .HARRAP, Feb. 16",,,Alice in Wonderland painting book,HARRAP,6d.,0.025,8vo.,"Alice in Wonderland painting book. Ryl. 8vo. 10 X 7, swd. 6d. net .HARRAP, Feb. 16",,,,Feb. 16,net
68,"Alkali, &c., works--52nd Annual report : Proc. during 191s. 28... . WYMAN, Sep. 16",,,"Alkali, &c",WYMAN,,0.0,,"Alkali, &c., works--52nd Annual report : Proc. during 1915. 28... . WYMAN, Sep. 16",,,,Sep. 16,
69,"All about word-skill competitions : how to win and how not to win big prizes. By a Competi. tion Judge. 32mo. 3 i X 21, pp. 676, is. net ROUTLEDGE, Apr. 16",,,All about word-skill competitions : how to win and how not to win big prizes,ROUTLEDGE,,0.0,32mo.,"All about word-skill competitions : how to win and how not to win big prizes. By a Competi. tion Judge. 32mo. 3 i X 21, pp. 676, is. net ROUTLEDGE, Apr. 16",,,,Apr. 16,
72,"Allan's Housing of the working classes, 4th ed. 8vo 128. 6d. net ......BUTTERWORTH, Mar. 16",,,Allan's Housing of the working classes,BUTTERWORTH,6d.,0.025,8vo,"Allan's Housing of the working classes, 4th ed. 8vo 128. 6d. net ......BUTTERWORTH, Mar. 16",,,,Mar. 16,net
79,"Allies' fairy book (The). Intro. by Edmund Gosse. Illus. by Arthur Rackham. 81x6, pp. 144, 6s. net .HEINEMANN, Nov. 16",,,Allies' fairy book (The),HEINEMANN,6s.,0.3,,"Allies' fairy book (The). Intro. by Edmund Gosse. Illus. by Arthur Rackham. 81x6, pp. 144, 6s. net .HEINEMANN, Nov. 16",,,,Nov. 16,net
80,"Almanach de Gotha, 1916. 18mo, 6 x 4, pp. 1244, Ios. 6d. ...DULAU, Jan. 16",,,Almanach de Gotha,DULAU,6d.,0.025,"18mo,","Almanach de Gotha, 1916. 18mo, 6 x 4, pp. 1244, Ios. 6d. ...DULAU, Jan. 16",,,,Jan. 16,
81,"Along the way : devotional verse, Whitby (C. H.) post free 7d. ..1916 Alpe (E. N.)- The Law of stamp duties on deeds and other instruments. Rev. and enl. by A. R. Rudall, W. notes on practice by H. W. Jordan. 14th ed. 84 x 5, pp. 400, ros. net JORDAN, Dec. 16",,,"Along the way : devotional verse, Whitby (C. H.) post free",JORDAN,,0.0,,"Along the way : devotional verse, Whitby (C. H.) post free 7d. ..1916 Alpe (E. N.)- The Law of stamp duties on deeds and other instruments. Rev. and enl. by A. R. Rudall, W. notes on practice by H. W. Jordan. 14th ed. 84 x 5, pp. 400, ros. net JORDAN, Dec. 16",,,,Dec. 16,
84,"Amateur gardener's diary and dictionary (The). 43 x 64, pp. 227, 1s. 6d. net, is. net “ GARDEN LIFE, Dec. 16",,,Amateur gardener's diary and dictionary (The),GARDEN LIFE,,0.0,,"Amateur gardener's diary and dictionary (The). 43 x 64, pp. 227, Is. 6d. net, is. net “ GARDEN LIFE, Dec. 16",,,,Dec. 16,
85,"America-North and South America : their geography, resources and commerce. Cr. 8vo. 71 X 5, pp. 100, bds. 6d. MEIKLEJOHN, Feb. 16",,,"America-North and South America : their geography, resources and commerce",MEIKLEJOHN,6d.,0.025,8vo.,"America-North and South America : their geography, resources and commerce. Cr. 8vo. 71 X 5, pp. 100, bds. 6d. MEIKLEJOHN, Feb. 16",,,,Feb. 16,
