entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"Alexander's Indian Case Law on Torts. 5th edit. by J. W. Orr, 8vo. 12s, net. . THACKER, Aug. 10",,,Alexander's Indian Case Law on Torts,THACKER,12s.,0.6,8vo.,"Alexander's Indian Case Law on Torts. 5th edit. by J. W. Orr, 8vo. 12s, net. . THACKER, Aug. 10",,,,Aug. 10,net
"Algeria Consular Report for 1909, 5d. WYMAS, Dec. 10",,,Algeria Consular Report for,WYMAS,5d.,0.020833333333333332,,"Algeria Consular Report for 1909, 5d. WYMAS, Dec. 10",,,,Dec. 10,
"Alice in Wonderland. In Words of One Syllable. 4to. bds, is. ROUTLEDGE, Oct. 10",,,Alice in Wonderland,ROUTLEDGE,,0.0,4to.,"Alice in Wonderland. In Words of One Syllable. 4to. bds, is. ROUTLEDGE, Oct. 10",,,,Oct. 10,
"Alien.--A Double Blindness. Cr. 8vo. 7* X5, pp. 320, 6s... ..DIGBY, L., Feb. 10",,,Alien,"DIGBY, L.",6s.,0.3,8vo.,"Alien.--A Double Blindness. Cr. 8vo. 7* X5, pp. 320, 6s... ..DIGBY, L., Feb. 10",,,,Feb. 10,
"Aliens Act, Report for 1909, 7d. WYMAN, July 10",,,"Aliens Act, Report for",WYMAN,7d.,0.029166666666666667,,"Aliens Act, Report for 1909, 7d. WYMAN, July 10",,,,July 10,
"ALLEN Aliens Naturalisation Return, 1909, 3d. WYMAN, Apr. 10",,,ALLEN Aliens Naturalisation Return,WYMAN,3d.,0.0125,,"ALLEN Aliens Naturalisation Return, 1909, 3d. WYMAN, Apr. 10",,,,Apr. 10,
"Aliens, Statement with regard to the Expulsion of, 2d. . WYMAN, June 10",,,"Aliens, Statement with regard to the Expulsion of",WYMAN,2d.,0.008333333333333333,,"Aliens, Statement with regard to the Expulsion of, 2d. . WYMAN, June 10",,,,June 10,
"Alkali Works. Forty-sixth Report, for 1909, 6}d. WYMAN, July 10",,,Alkali Works,WYMAN,,0.0,,"Alkali Works. Forty-sixth Report, for 1909, 6}d. WYMAN, July 10",,,,July 10,
"All-Rail Route (The) between the Far East and Europe. Illus. Izmo. 7 x 41, pp. 144, 2s. net CHRISTOPHERS, May 10",,,All-Rail Route (The) between the Far East and Europe,CHRISTOPHERS,2s.,0.1,,"All-Rail Route (The) between the Far East and Europe. Illus. Izmo. 7 x 41, pp. 144, 25. net CHRISTOPHERS, May 10",,,,May 10,net
"Amanda and Gherardo and other Poems. By J. E. P. Cr. 8vo. 71 X5, pp. 232, 3s. 6d. net CORNISH BROS., Apr. 10",,,Amanda and Gherardo and other Poems,CORNISH BROS.,3s. 6d.,0.175,8vo.,"Amanda and Gherardo and other Poems. By J. E. P. Cr. 8vo. 71 X5, pp. 232, 3s. 6d. net CORNISH BROS., Apr. 10",,,,Apr. 10,net
"Amateur Gardener's Diary and Dictionary. Oblong 12mo. bds, is, net “ GARDEN LIFE, Oct. 1o Amazing Duke, Magnay (W., Sir) 7d, net Mar. 1o Amazing Mutes, Muir (W.) 6s. ....... Sep, ro Amazing Revolution and After (An). Cr. 8vo. 71 X5, pp. 174, 2s. 6d. net..G. ALLEN, Feb. 10",,,Amateur Gardener's Diary and Dictionary,G. ALLEN,2s. 6d.,0.125,12mo.,"Amateur Gardener's Diary and Dictionary. Oblong 12mo. bds, is, net “ GARDEN LIFE, Oct. 1o Amazing Duke, Magnay (W., Sir) 7d, net Mar. 1o Amazing Mutes, Muir (W.) 6s. ....... Sep, ro Amazing Revolution and After (An). Cr. 8vo. 71 X5, pp. 174, 2s. 6d. net..G. ALLEN, Feb. 10",,,,Feb. 10,net
"American Foreign Policy. By a Diplomatist. 8vo. 5s. net CONSTABLE, Mar. 10",,,American Foreign Policy,CONSTABLE,5s.,0.25,8vo.,"American Foreign Policy. By a Diplomatist. 8vo. 5s. net CONSTABLE, Mar. 10",,,,Mar. 10,net
"American Journal of Photography (The), 1910. 8vo. swd. 3s. net......DAWBARN & W., Feb. 10",,,American Journal of Photography (The),DAWBARN & W.,3s.,0.15,8vo.,"American Journal of Photography (The), 1910. 8vo. swd. 35. net......DAWBARN & W., Feb. 10",,,,Feb. 10,net
"Animals, Experiments on Living : Return for WYMAN, July 1o Animals' Friend (The) Vol. 16. Ryl. 8vo. OFFICE, Oct. 10",,,"Animals, Experiments on Living : Return for WYMAN, July",OFFICE,,0.0,8vo.,"Animals, Experiments on Living : Return for WYMAN, July 1o Animals' Friend (The) Vol. 16. Ryl. 8vo. OFFICE, Oct. 10",,,,Oct. 10,
"Annual Charities Register and Digest (The), 1910. Edit. by C. S. Loch. 8vo. 58. net LONGMANS, Apr. 10",,,Annual Charities Register and Digest (The),LONGMANS,,0.0,8vo.,"Annual Charities Register and Digest (The), 1910. Edit. by C. S. Loch. 8vo. 58. net LONGMANS, Apr. 10",,,,Apr. 10,
"Annual County Courts Practice (The), 1910. Edit. by W. C. Smyly and w. J. Brooks. 2 vols., or i vol. Cr. 8vo. 25s. SWEET & M., Dec. 09 Annual Digest (The) 1909. By J. Vews. 8vo. 15s. SWEET & M., Jan. 10",,,Annual County Courts Practice (The),SWEET & M.,15s.,0.75,8vo.,"Annual County Courts Practice (The), 1910. Edit. by W. C. Smyly and w. J. Brooks. 2 vols., or i vol. Cr. 8vo. 255. SWEET & M., Dec. 09 Annual Digest (The) 1909. By J. Vews. 8vo. 155. SWEET & M., Jan. 10",,,,Jan. 10,
"Annual Practice (The), 1910. By B. F. Lock and Others. 2 vols. 8vo. 25s. net SWEET & M., Oct. 10",,,Annual Practice (The),SWEET & M.,25s.,1.25,8vo.,"Annual Practice (The), 1910. By B. F. Lock and Others. 2 vols. 8vo. 255. net SWEET & M., Oct. 10",,,,Oct. 10,net
"Annual Register (The). A review of Public Events at Home and Abroad for the year 1909. New ser. 8vo. 18s.......LONGMANS, May 10",,,Annual Register (The),LONGMANS,18s.,0.9,8vo.,"Annual Register (The). A review of Public Events at Home and Abroad for the year 1909. New ser. 8vo. 18s.......LONGMANS, May 10",,,,May 10,
"Anthology of Prayers for Public Worship. 1ssued by the Church Worship Association of the United Free Church of Scotland. 2nd edit. Cr. 8vo. 71 x 41, pp. 216, 2s. 6d. net MACNIVEN & W., Feb. 10",,,Anthology of Prayers for Public Worship,MACNIVEN & W.,2s. 6d.,0.125,8vo.,"Anthology of Prayers for Public Worship. Issued by the Church Worship Association of the United Free Church of Scotland. 2nd edit. Cr. 8vo. 71 x 41, pp. 216, 25. 6d. net MACNIVEN & W., Feb. 10",,,,Feb. 10,net
"Antwerp, Report on the Shipping and Navigation of the Port of, 2 d.... .WYMAN, Mar. 10",,,"Antwerp, Report on the Shipping and Navigation of the Port of",WYMAN,,0.0,,"Antwerp, Report on the Shipping and Navigation of the Port of, 2 d.... .WYMAN, Mar. 10",,,,Mar. 10,
